,engine_equity,engine_ret,spy_ret
2014-06-30,1.0,0.0,
2014-07-31,0.9890496818033138,-0.010950318196686237,-0.013437367435800929
2014-08-31,1.041978952035373,0.053515279571754615,0.03946316747196321
2014-09-30,1.038599343178021,-0.0032434521357177504,-0.013795978070587744
2014-10-31,1.0475982745127927,0.008664487796839815,0.023551180146955897
2014-11-30,1.0776364171178952,0.028673341046759893,0.027471982407850648
2014-12-31,1.0746745052133722,-0.002748526179585209,-0.002536908618307576
2015-01-31,1.0470283494932837,-0.025725143367571923,-0.02962940394456015
2015-02-28,1.1141852112166797,0.06414044257340024,0.05620480838044806
2015-03-31,1.089661959666618,-0.022010031459027024,-0.015705668146380303
2015-04-30,1.1164615281010901,0.02459438745817244,0.009833957805645888
2015-05-31,1.1455083699076838,0.026016876601200334,0.012855953122436592
2015-06-30,1.1278297814179263,-0.015432963175277536,-0.0203118550363679
2015-07-31,1.16075860179924,0.029196622507977166,0.02258928959607065
2015-08-31,1.1068266392850126,-0.04646268606636195,-0.06095032178827664
2015-09-30,1.0909582760497194,-0.014336810004449974,-0.025515821666732386
2015-10-31,1.1649218204824678,0.06779685901514498,0.0850594938073892
2015-11-30,1.1926155927639086,0.02377307369001902,0.0036555957374151404
2015-12-31,1.1785622510397866,-0.011783630710003656,-0.017282600805720416
2016-01-31,1.1198810791308091,-0.049790472974343136,-0.049786513687822165
2016-02-29,1.1173197604219707,-0.002287134550774339,-0.0008260176596426305
2016-03-31,1.1779551258441623,0.05426858771323606,0.06726598792630112
2016-04-30,1.209428247855833,0.026718438861680793,0.0039408835920116125
2016-05-31,1.243585258661078,0.02824227966049353,0.017011494533743177
2016-06-30,1.2127631006305868,-0.024784917492248426,0.0034762669332963902
2016-07-31,1.267674450735771,0.04527788656880505,0.03647102847725647
2016-08-31,1.2794868351268802,0.00931815292502991,0.0011975479761727748
2016-09-30,1.2927450521124744,0.010362136304653324,5.80134592873538e-05
2016-10-31,1.2871022967628116,-0.0043649405893620985,-0.017337107615069236
2016-11-30,1.3357262130673933,0.03777781799230384,0.036838286352873784
2016-12-31,1.3584131121035348,0.016984692532193923,0.020272094880187996
2017-01-31,1.418172095628508,0.043991759938502906,0.01789457163036623
2017-02-28,1.4938834042562412,0.05338654515986607,0.03929145838098247
2017-03-31,1.5090863903735716,0.01017682241734219,0.0012498422711040291
2017-04-30,1.5472440368726992,0.025285263151622273,0.009926462114039136
2017-05-31,1.6014632936108248,0.0350424725809344,0.014112999587625241
2017-06-30,1.6203945474711263,0.011821222463124448,0.0063747217850183
2017-07-31,1.676498658916697,0.0346237350237506,0.020554138218785045
2017-08-31,1.7040934480205456,0.01645977403983112,0.0029177306115979462
2017-09-30,1.746115860131995,0.024659687624679405,0.02014939846623376
2017-10-31,1.8055611478970641,0.03404429747323601,0.023564131163409163
2017-11-30,1.8394031259792651,0.01874319134614555,0.030565815418127862
2017-12-31,1.8580854908492894,0.010156753898131088,0.0121279145070885
2018-01-31,2.0146413017928237,0.08425651656747846,0.0563595866196398
2018-02-28,1.9298553463742572,-0.04208488892941675,-0.03636059614533127
2018-03-31,1.8580777670572175,-0.037193243240687845,-0.027410678255401666
2018-04-30,1.8781346251718927,0.010794412629155259,0.005168282656814016
2018-05-31,1.9484932599861398,0.037461976298854394,0.024309139730758655
2018-06-30,1.9689138051033608,0.010480172313948044,0.005750830118158579
2018-07-31,2.0388488745502675,0.03551961963273209,0.037046427596482356
2018-08-31,2.1432448758078526,0.051203403332487296,0.03192031771272741
2018-09-30,2.16600282307105,0.010618454064713179,0.0059451490454669464
2018-10-31,2.002824319694235,-0.07533623762569885,-0.06910429775144966
2018-11-30,2.0266732012199,0.011907625292519874,0.018549389450771336
2018-12-31,1.939616529827129,-0.04295545593654149,-0.08804856038482978
2019-01-31,2.0244799048686053,0.04375265612375445,0.08006577075893029
2019-02-28,2.0853161278495853,0.030050297281132288,0.032415630326144695
2019-03-31,2.134852678603509,0.02375493580678656,0.018100379472159256
2019-04-30,2.208720837967065,0.03460105706772998,0.04085265621530998
2019-05-31,2.0503795858106915,-0.07168911952771406,-0.06377137134107547
2019-06-30,2.1748135254933176,0.060688245505247096,0.06958653890940392
2019-07-31,2.2112102370031494,0.016735555064002927,0.015119620426201186
2019-08-31,2.1621742005479634,-0.022176107741634032,-0.016743682225958012
2019-09-30,2.1666153754014776,0.00205403193340703,0.019457845034156485
2019-10-31,2.258145951400122,0.04224588131231344,0.022105026395702554
2019-11-30,2.367347068597985,0.04835875073980711,0.03619803905105101
2019-12-31,2.4537675653513293,0.03650520783356237,0.029055706919512314
2020-01-31,2.4952384923793947,0.01690091906570923,-0.00040390990614291855
2020-02-29,2.397332413626048,-0.03923716272106148,-0.07916575915847945
2020-03-31,2.3269097202183584,-0.029375439554155558,-0.12487122681574159
2020-04-30,2.394951948865756,0.02924145619238394,0.12698362069856084
2020-05-31,2.4857218135620767,0.03790049513908156,0.047644905263054316
2020-06-30,2.5087789347619487,0.0092758252649483,0.01773472202641524
2020-07-31,2.5720482993460814,0.02521918679540258,0.05889182117026448
2020-08-31,2.8037071048544076,0.09006782865128282,0.06979668500684055
2020-09-30,2.6902318934612026,-0.0404732759697799,-0.03744356773711932
2020-10-31,2.5910618310817046,-0.03686301638923317,-0.024933411457319865
2020-11-30,2.8367765388772606,0.09483166509113228,0.10877682274156952
2020-12-31,2.9575922477008323,0.04258908206826484,0.03704836817618151
2021-01-31,2.9286490159005627,-0.009786079140141624,-0.01019045268201646
2021-02-28,3.034062354461963,0.0359938449397923,0.02780543980822614
